time,psibdx,psivdx,lonx,latx,alt,dvbe,thtvdx,VBED1,VBED2,VBED3
92.5,-179.801,-179.2,-120.5,33.8186,57934.5,1919.17,22.8198,-1768.78,-24.6975,-744.321
93,-179.808,-179.196,-120.5,33.8107,58305.5,1917.27,22.6957,-1768.64,-24.8087,-739.753
93.5,-179.815,-179.193,-120.5,33.8028,58674.3,1915.38,22.5713,-1768.49,-24.9196,-735.187
94,-179.822,-179.189,-120.5,33.7949,59040.7,1913.5,22.4467,-1768.35,-25.0303,-730.621
94.5,-179.828,-179.185,-120.501,33.787,59404.9,1911.64,22.3218,-1768.21,-25.1407,-726.056
95,-179.835,-179.182,-120.501,33.7791,59766.8,1909.78,22.1967,-1768.07,-25.2509,-721.491
95.5,-179.841,-179.178,-120.501,33.7712,60126.4,1907.93,22.0714,-1767.93,-25.3607,-716.928
96,-179.848,-179.175,-120.501,33.7633,60483.7,1906.1,21.9458,-1767.79,-25.4704,-712.365
96.5,-179.854,-179.171,-120.501,33.7554,60838.7,1904.27,21.82,-1767.66,-25.5797,-707.803
97,-179.86,-179.167,-120.501,33.7476,61191.5,1902.46,21.6939,-1767.53,-25.6888,-703.241
97.5,-179.866,-179.164,-120.501,33.7397,61541.9,1900.66,21.5676,-1767.4,-25.7977,-698.68
98,-179.871,-179.16,-120.501,33.7318,61890.1,1898.87,21.4411,-1767.27,-25.9062,-694.12
98.5,-179.877,-179.157,-120.502,33.7239,62236,1897.09,21.3143,-1767.14,-26.0145,-689.561
99,-179.883,-179.153,-120.502,33.716,62579.7,1895.32,21.1873,-1767.01,-26.1226,-685.002
99.5,-179.888,-179.149,-120.502,33.7081,62921,1893.56,21.06,-1766.88,-26.2304,-680.443
100,-179.894,-179.146,-120.502,33.7002,63260.1,1891.81,20.9326,-1766.76,-26.3379,-675.885
100.5,-179.899,-179.142,-120.502,33.6923,63596.9,1890.07,20.8048,-1766.64,-26.4452,-671.328
101,-179.904,-179.139,-120.502,33.6845,63931.4,1888.35,20.6769,-1766.51,-26.5522,-666.771
101.5,-179.91,-179.135,-120.502,33.6766,64263.7,1886.63,20.5487,-1766.39,-26.6589,-662.214
102,-179.915,-179.132,-120.503,33.6687,64593.6,1884.93,20.4203,-1766.27,-26.7654,-657.658
102.5,-179.92,-179.128,-120.503,33.6608,64921.3,1883.23,20.2916,-1766.15,-26.8716,-653.103
103,-179.925,-179.125,-120.503,33.6529,65246.7,1881.55,20.1628,-1766.04,-26.9776,-648.548
103.5,-179.93,-179.121,-120.503,33.645,65569.8,1879.88,20.0337,-1765.92,-27.0833,-643.993
104,-179.934,-179.118,-120.503,33.6372,65890.7,1878.22,19.9043,-1765.81,-27.1887,-639.439
104.5,-179.939,-179.114,-120.503,33.6293,66209.3,1876.56,19.7748,-1765.69,-27.2939,-634.886
