1,input_ballistic.asc,Three-stage,rocket,ascent
0,0,20,,
time,psibdx,thtbdx,phibdx,alppx
phipx,alphax,betax,qqx,lonx
latx,alt,dvbe,dvbi,psivdx
thtvdx,SBII1,SBII2,SBII3,grndtrck
34.2096,-2.67174e+06,-4.53752e+06,3.60524e+06,11511.2
37,180,32.939,-8.53774e-07,0
180,-0.987767,2.30088e-11,0.475793,-120.49
34.5728,10547.1,921.165,921.165,180
33.9241,-2.67195e+06,-4.53789e+06,3.60508e+06,11888.8
37.5,180,33.2865,-8.53774e-07,0
180,-0.379132,1.30276e-11,0.910223,-120.49
34.5694,10805.6,937.691,937.691,180
33.6632,-2.67217e+06,-4.53826e+06,3.6049e+06,12274.4
38,180,33.7988,-0,0
0,0.375991,-4.15864e-12,0.904303,-120.49
34.5658,11066.9,954.415,954.415,180
33.4205,-2.67239e+06,-4.53864e+06,3.60473e+06,12668
38.5,-180,34.1458,8.53774e-07,0
-1.28109e-09,0.948105,-2.12017e-11,0.459697,-120.49
34.5622,11331.3,971.36,971.36,180
33.1955,-2.67262e+06,-4.53902e+06,3.60455e+06,13069.6
39,-180,34.2699,8.53774e-07,0.695382
-1.47657e-09,1.27798,-3.29377e-11,0.0126064,-120.49
34.5585,11598.8,988.547,988.547,180
32.9899,-2.67285e+06,-4.53941e+06,3.60436e+06,13479.4
39.5,-180,34.1699,0,0.849954
-1.61399e-09,1.36682,-3.85057e-11,-0.436776,-120.49
34.5547,11869.6,1005.98,1005.98,180
32.8012,-2.67308e+06,-4.53981e+06,3.60417e+06,13897.4
40,-180,33.8449,1.20742e-06,0.605859
-1.75707e-09,1.22846,-3.76763e-11,-0.888243,-120.49
34.5509,12143.8,1023.66,1023.66,180
32.6145,-2.67332e+06,-4.54021e+06,3.60397e+06,14323.5
40.5,-180,33.2937,1.70755e-06,0
-1.97904e-09,0.875866,-3.02571e-11,-1.34158,-120.49
34.547,12421.3,1041.59,1041.59,180
32.4157,-2.67356e+06,-4.54062e+06,3.60377e+06,14758.1
41,-180,32.5154,2.41484e-06,0
-2.84612e-09,0.306202,-1.52129e-11,-1.7966,-120.49
34.543,12702.1,1059.79,1059.79,180
32.2071,-2.67381e+06,-4.54104e+06,3.60356e+06,15201.2
41.5,180,31.5823,-2.83165e-06,0
180,-0.408645,1.65579e-11,-1.72778,-120.49
34.5389,12986.1,1078.25,1078.25,180
31.9887,-2.67406e+06,-4.54146e+06,3.60335e+06,15653.1
